Term,TermMasterID,TermID_dnu,Term_dnu,Path,TableID,ThesXrefTypeID,ThesXrefTableID,TermID3,PrimaryCNID,TermMasterID5,TermMasterID6
Mesa Mt.,1545803,2028229,Mesa Mt.,"Mesa Mt., Baja, California, Unknown, Legacy",108,20,346,2028229,1545803,1545803,1
Kelly,1545805,2028231,Kelly,"Kelly, NEW MEXICO, Unknown, Legacy",108,20,346,2028231,1545805,1545805,1
Chihuahua,1545806,2028232,Chihuahua,"Chihuahua, Mexico, North America",108,20,346,2028232,1545806,1545806,1
Greenlaw Quarry,1545807,2028233,Greenlaw Quarry,"Greenlaw Quarry, Auburn, Androscoggin Co., Maine, USA, North America",108,20,346,2028233,1545807,1545807,1
Santandar,1545808,2028234,Santandar,"Santandar, Spain, Europe",108,20,346,2028234,1545808,1545808,1
South Australia,1545810,2028236,South Australia,"South Australia, Australia, Oceana",108,20,346,2028236,1545810,1545810,1
Coober Pedy,1545811,2028237,Coober Pedy,"Coober Pedy, South Australia, Australia, Oceana",108,20,346,2028237,1545811,1545811,1
Four Peaks,1545813,2028239,Four Peaks,"Four Peaks, Salt River Dist., Arizona, Arizona, USA, North America",108,20,346,2028239,1589996,1545813,1
Greenland,1545817,2028243,Greenland,"Greenland, Europe",108,20,346,2028243,1545817,1545817,1
Ilimaussaq,1545818,2028244,Ilimaussaq,"Ilimaussaq, Greenland, Europe",108,20,346,2028244,1545818,1545818,1
New Mexico,1545819,2028245,New Mexico,"New Mexico, USA, North America",108,20,346,2028245,1545819,1545819,1
Santa Rita,1545820,2028246,Santa Rita,"Santa Rita, New Mexico, USA, North America",108,20,346,2028246,1545820,1545820,1
South Africa,1545821,2028247,South Africa,"South Africa, Africa",108,20,346,2028247,1545821,1545821,1
Transvaal,1545822,2028248,Transvaal,"Transvaal, South Africa, Africa",108,20,346,2028248,1545822,1545822,1
Putnam Co.,1545823,2028249,Putnam Co.,"Putnam Co., New York, USA, North America",108,20,346,2028249,1545823,1545823,1
Tilly Foster Mine,1545825,2028251,Tilly Foster Mine,"Tilly Foster Mine, Brewster, Putnam Co., New York, USA, North America",108,20,346,2028251,1545825,1545825,1
Ural Mountains,1545826,2028252,Ural Mountains,"Ural Mountains, Ussr, Asia",108,20,346,2028252,1545826,1545826,1
Nevada,1545827,2028253,Nevada,"Nevada, USA, North America",108,20,346,2028253,1545827,1545827,1
Tsumeb Mine,1545828,2028254,Tsumeb Mine,"Tsumeb Mine, Tsumeb, Namibia, Africa",108,20,346,2028254,1545828,1545828,1
Rocky Gorge,1545831,2028257,Rocky Gorge,"Rocky Gorge, New Hampshire, USA, North America",108,20,346,2028257,1545831,1545831,1
Massachusetts,1545832,2028258,Massachusetts,"Massachusetts, USA, North America",108,20,346,2028258,1545832,1545832,1
Westfield,1545834,2028260,Westfield,"Westfield, Hampden Co., Massachusetts, USA, North America",108,20,346,2028260,1545834,1545834,1
Middlesex Co.,1545837,2028263,Middlesex Co.,"Middlesex Co., Connecticut, USA, North America",108,20,346,2028263,1545837,1545837,1
Portland,1545838,2028264,Portland,"Portland, Middlesex Co., Connecticut, USA, North America",108,20,346,2028264,1545838,1545838,1
Gotta-Walden Prospect,1545839,2028265,Gotta-Walden Prospect,"Gotta-Walden Prospect, Portland, Middlesex Co., Connecticut, USA, North America",108,20,346,2028265,1545839,1545839,1
Bristol Co.,1545840,2028266,Bristol Co.,"Bristol Co., Massachusetts, USA, North America",108,20,346,2028266,1545840,1545840,1
Acushnet,1545841,2028267,Acushnet,"Acushnet, Bristol Co., Massachusetts, USA, North America",108,20,346,2028267,1545841,1545841,1
Warren Brothers Bluestone Quarry,1545842,2028268,Warren Brothers Bluestone Quarry,"Warren Brothers Bluestone Quarry, Acushnet, Bristol Co., Massachusetts, USA, North America",108,20,346,2028268,1545842,1545842,1
Alstead,1545843,2028269,Alstead,"Alstead, Cheshire Co., New Hampshire, USA, North America",108,20,346,2028269,1545843,1545843,1
Clark Mine,1545844,2028270,Clark Mine,"Clark Mine, Alstead, Cheshire Co., New Hampshire, USA, North America",108,20,346,2028270,1545844,1545844,1
Island Mine,1545845,2028271,Island Mine,"Island Mine, Alstead, Cheshire Co., New Hampshire, USA, North America",108,20,346,2028271,1545845,1545845,1
Carroll Co.,1545847,2028273,Carroll Co.,"Carroll Co., New Hampshire, USA, North America",108,20,346,2028273,1545847,1545847,1
Conway,1545848,2028274,Conway,"Conway, Carroll Co., New Hampshire, USA, North America",108,20,346,2028274,1545848,1545848,1
Hurricane Mtn.,1545849,2028275,Hurricane Mtn.,"Hurricane Mtn., North Conway, Conway, Carroll Co., New Hampshire, USA, North America",108,20,346,2028275,1545849,1545849,1
Groton,1545850,2028276,Groton,"Groton, Grafton Co., New Hampshire, USA, North America",108,20,346,2028276,1545850,1545850,1
Hampshire Co.,1545852,2028278,Hampshire Co.,"Hampshire Co., Massachusetts, USA, North America",108,20,346,2028278,1545852,1545852,1
Cummington,1545853,2028279,Cummington,"Cummington, Hampshire Co., Massachusetts, USA, North America",108,20,346,2028279,1545853,1545853,1
Betts Mine,1545854,2028280,Betts Mine,"Betts Mine, Cummington, Hampshire Co., Massachusetts, USA, North America",108,20,346,2028280,1545854,1545854,1
Worcester Co.,1545855,2028281,Worcester Co.,"Worcester Co., Massachusetts, USA, North America",108,20,346,2028281,1545855,1545855,1
