Locality,objectnum,Length
"Xuebaoding, Pingwu Co., Sichuan Province, China ",2020.7.3113,11
"Xuebaoding Mountain, Sichuan Province, China",2020.7.2945,11
"Animon Mine, Huaron, San Jose de Huayllay Dist., Cerro de Pasco Prov., Peru",2020.7.2849,11
"Animon Mine, South Huaron, Huayllay Dist., Pasco Prov., Peru",2020.7.2803,11
"Animon Mine, S. Huaron area, Pasco Prov., Peru",2020.7.2688,11
"Animon Mine, San Jose de Huayllay Dist., Pasco Dept., Peru",2020.7.2687,11
"Dachang Antimony Mine, Qinglong Co., Guizhou Province, China ",2020.7.3015,11
"Dachang antimony Mine, Quinglong County, Guizhou Prov., China  ",2020.7.3075,11
"Dachang Mine, Guangxi Province, China  ",2020.7.3077,11
"Dachang Mine, Nandan County, Guangxi Zhuang A.R., China  ",2020.7.3066,11
"Huanzala Mine, Huanuco Dept., Peru",2020.7.2754,11
"Babu, Guangxi Province, China",2020.7.3196,11
"Babu, Hezhou, Guangxi Province, China",2020.7.2997,11
"Babu Mine, Guangxi Province, China",2020.7.3068,11
"Capitana Mine, near Copiapo, Chile",2020.7.2555,11
"Chenzhou, Hunan Province, China",2020.7.3045,11
"Chenzhou, S. Hunan Prov., People's Republic of China",2020.7.3182,11
"Chenzhou, South Hunan Province, China",2020.7.3177,11
"Chongyi, Ganzhou, Jiangxi Prov., China  ",2020.7.3081,11
"Confinaza Mine, Tilama, Chile",2020.7.2445,11
"Dashkesan, Azerbaidzhan, Russia",2020.7.2889,11
"Hongda Mn Mine, near Quguo, Lingqui County Shanxi Province, China",2020.7.2994,11
"Hongda Mn Mine, near Quguo, Lingqui County, Shanxi Province, China",2020.7.3124,11
"Hongde Mn Mine, near Quguo, Lingqui County Shanxi Province, China",2020.7.2971,11
"Piaotang, Dayu County, Jiangxi Province, China",2020.7.3014,11
"Piaotang, Dayu, Jiangxi Province, China",2020.7.2981,11
"Piaotang, Jiangxi Prov., China",2020.7.3072,11
"Poona, Inda",2020.7.3222,11
"Raura, Peru",2020.7.2738,11
"Salvador Mine, Sierra Gorda Dist., Tocopilla Prov., Antofagasta, Chile",2020.7.2487,11
"San Pablo Mine, inca de Oro, Chile",2020.7.2441,11
"Wenshan, Yunnan Province, China",2020.7.3163,11
"Wenshan Mine, S. Eastern Yunnan Province, China",2020.7.3186,11
Wenxian Ganzu/Sichuan border zone China ,2020.7.3141,11
"Wessels Mine, Kalahari Mn area, Cape Province, South Africa",2020.7.2898,11
"Xinjiang Autonomous Region, China",2020.7.3064,11
"2 km west of Sierra Gorda, N.E. Antofagasta, 2nd Region, N. Chile",2020.7.2582,11
"Antofagasta, Chile",2020.7.2553,11
"above Arondu, Haramosh Range, Baltistan, N.A., Pakistan",2020.7.2340,11
"Arondu, Basha Valley, Baltistan, N.A., Pakistan",2020.7.2412,11
"Bou Azzer, Morocco",2020.7.2856,11
"Bou Azzer, Ouarzazate, Morocco",2020.7.2346,11
"Brosso, Canavese Dist., Torino Prov., Piedmont, Italy",2020.7.2958,11
"Brosso, Piedmont, Italy",2020.7.2953,11
"Caleta Pabellon de Pica, Punta Colina, Iquique, Chile",2020.7.2499,11
"Caleta Pabellon de Pica, Punta Colina, Iquique, Region 1, Chile",2020.7.2459,11
"Cerro Mejillones, Mejillones peninsula, Mejillones, Region II, Chile",2020.7.2488,11
"Cerro Mejillones peninsula, Mejillones, Region II, Chile",2020.7.2536,11
"Chanarcillo, Copiapo, Atacama Desert, III Region, Chile",2020.7.2632,11
"Chanarcillo, Chile",2020.7.2368,11
"Dachang, Guangxi Autonomous Region, China ",2020.7.3082,11
"Dachang,Guangxi Prov., China  ",2020.7.3103,11
"Delirio Mine, inca de Oro, Chile",2020.7.2505,11
"Delirio Mine, inca de Oro, Copiapo District, Chile",2020.7.2504,11
"Dolores Mine, Chanarcillo, Chile",2020.7.2651,11
"Dolores Mine, Sierra de Caracoles, Chile",2020.7.2669,11
"Extertal, Eastern Westphalia, N. Rhine, Westphalia, Germany",2020.7.2811,11
"Extertal, Teutoburger Forest, Rhine-Westphalia, Germany",2020.7.2900,11
"Gavorrano, Grosseto Prov., Tuscany, Italy",2020.7.2955,11
"Gavorrano, Tuscany, Italy",2020.7.2956,11
"Gongcheng, Guangxi Province, China ",2020.7.3044,11
"Gongcheng, Guangxi Province, China  ",2020.7.3029,11
"Guilin, Gongcheng, Guangxi Province, China",2020.7.2940,11
"Gulin, Guang Shi Prov., China",2020.7.2419,11
"Hunan Province, China",2020.7.3016,11
"Hunan Province, China ",2020.7.3067,11
"Jote Mine, Pampa Larga, Tierra Amarilla, Atacama desert, Region III, Chile",2020.7.2468,11
"Jote West Mine, Tierra Amarilla Comuna, Copiapo Province, Atacama, Chile",2020.7.2507,11
"Kangjiawan, Shuikoushan lead zinc mine, Chaning Hunan Province, China",2020.7.3139,11
"Kangjiawan, Shuikoushan lead zinc mine, Chaning, Hunan Province, China",2020.7.3120,11
"Kasompi, Katanga, Congo",2020.7.3214,11
"Kasonpo Mine, Katanga, Congo",2020.7.3202,11
"Kohtokay Mine, Altay Mts., Xinjiang Province, Uygur A.R., China  ",2020.7.3179,11
"Kohtokay Mine, Xinjiang Province, Uygur A.R.,China ",2020.7.2987,11
"Konder, Khabarovsk Region, Russia",2020.7.2354,11
"Kondor, Khabarovsk Region, Russia",2020.7.2415,11
"La Vendida Mine, Sierra Gorda, Atacama desert, Northern Chile",2020.7.2452,11
"La Vendida Mine, Sierra Gorda, Chile",2020.7.2527,11
"Madan, Rhodopes Mts., Bulgaria",2020.7.2825,11
"Madan, Rhodops Mts., Bulgaria",2020.7.2857,11
"Mengyin, Shandong Province, China",2020.7.3003,11
"Mengyin Kimberlite field, Yimeng Mts.,Shandond Province, China",2020.7.2979,11
"Mina Arabia, Pachapaqui, Ancash Dept., Peru",2020.7.2752,11
"Mina Arabia, Pachapaqui, Ancash, Peru",2020.7.2739,11
"Mina Copaquiri, Guatacondo, Region 1, Atacama Desert, Chile",2020.7.2577,11
"Mina Copaquiri, Guatacondo, Region 1, Iquique, Atacama Desert, Chile",2020.7.2562,11
"Morococha, Yauli Prov., Junin Dept., Peru",2020.7.2970,11
"Morococha Mine, Yauli Province, Junin Dept., Peru",2020.7.2678,11
"Muzo Emerald Mine, Boyaca, Colombia",2020.7.2844,11
"Muzo Emerald Mine, Colombia",2020.7.2416,11
"Odikhiuchi massif, Tamyr Peninsula South, Russia",2020.7.2832,11
"Odikhiuchi massif, Taymyr Peninsula South, Russia",2020.7.2891,11
"Oppu Mine, Naka-Tsugaru-gun, Aomori Pref., Tohoku Reg., Honshu Island, Japan",2020.7.2957,11
"Oppu Mine, Nishimeya-mura, Aomori Pref., Tohoku Reg., Honshu Island, Japan",2020.7.2913,11
"Oumjrane, Morocco",2020.7.2845,11
"Oumjrane, Sahara, Morocco",2020.7.2311,11
"Rubtsovskiy Mine, Altai Mts., Siberia, Russia",2020.7.2824,11
"Rubtsovskiy Mine, Altaiskiy krai, Siberia, Russia",2020.7.2349,11
"San Martin Mine, Chiurucu, Huallanca, Bolognesi, Ancash, Peru",2020.7.2716,11
"San Martine Mine, Chiurucu, Huanauco, Peru",2020.7.2689,11
"Sarany, Middle Urals, Russia",2020.7.2313,11
"Sarany area, Polar Urals, Russia",2020.7.2422,11
"Wuzhou, Guangxi Prov.,  China",2020.7.2975,11
"Wuzhou, Guangxi Prov., China",2020.7.3089,11
"Xianghualing Mine, Haianghue Ridge, Linwu Co., Hunan Province,China ",2020.7.3012,11
"Xianghualing Mine, Hsianghua Ridge, Linwu  Co., Hunan Province, China ",2020.7.3152,11
"Yuang Yang, Yunnan Province, China ",2020.7.3150,11
"Yuanyang County, Yunnan Province, China",2020.7.3180,11
"Zao Feng Mine, Kun Ming City,Yunnan Province, China   ",2020.7.3026,11
"Zao Feng Mine, Kunming,Yunnan Province, China   ",2020.7.3027,11
"""The Electric Meatball"" Big Bertha Extension Mine, Dome Rock Mts., Yuma co., Arizona",2020.7.2424,11
"2500' level, ZCA, #4 Mine, Fowler Ore Body, Balmat, NY",2020.7.2413,11
"2SE Stope, Level 21 Orphan Replacement Ore Body, Camp Bird Mine, Ouray, Ouray County, Colorado",2020.7.2812,11
"884 Mine, Guiyang Co., Chenzhou Prefecture, Hunan Province, China",2020.7.2920,11
"Acari Mine, Nazca, Peru (chrysocolla mine)",2020.7.2674,11
"Aggeneys, North Cape Province, South Africa",2020.7.2914,11
"Aguas Calientes, Casapalca, Peru",2020.7.2692,11
"Alchuri, near Hasubi, Northern Pakistan",2020.7.2333,11
"Alexander County, North Carolina",2020.7.2420,11
"Ambas Aguas, north of Longono, La Rioja, Spain",2020.7.2874,11
"Amelia Mine, Boleo, Santa Rosalia, Baja California, Mexico",2020.7.2314,11
"Amjran, Errachidia Province, Morocco",2020.7.2361,11
"Anatari Mine, Altai, Xinjiang Province, Uygur A.R., China  ",2020.7.3092,11
"Ancash Departmen, Peru",2020.7.2750,11
"Baicheng ,Kunlun Mts. Xinjiang Province, Northern China",2020.7.2980,11
"Banpo Sb Mine, Dushan, Guizhou Province, China",2020.7.3121,11
"Baoshan, Hunan Province, China",2020.7.3008,11
"Barranca del Sulfato, Mejillones Peninsula, Antofagasta, Region II, Chile",2020.7.2590,11
"Barranca Mine, Coneto de Comonfort, Durango, Mexico",2020.7.2318,11
"Bashir Mine, Kulu Valley, Kangra District, Punjab NE, Himaichal Pradesh, India",2020.7.3207,11
"Beineu-Kyr, Turkmenistan",2020.7.2338,11
"Beiyan Mountain, Changle, Shandong Province, China",2020.7.3002,11
"Bejanca, Portugal",2020.7.2877,11
"Beresovsk, Middle Urals, Russia",2020.7.2962,11
"Berkeley Pit, Butte, Silverbow Co., Montana",2020.7.2400,11
"Bharanpur, Gujarat, South India",2020.7.2967,11
"Bombay, India",2020.7.2310,11
"Boron, California",2020.7.2883,11
"Bottino, near Seravezza, Tuscany, Italy",2020.7.2831,11
"Bristol Copper Mine, Bristol, Hartford Co., Connecticut",2020.7.2384,11
"Cabeza de Cachorro Mine, Floreste Amazonica, Amazonas, Brazil",2020.7.2852,11
"Cabriza Mine, Sacramento Dist., Copiapo, Chile",2020.7.2497,11
"Canete, Peru",2020.7.2714,11
"Canta, Canta Province, Lima, Peru",2020.7.2823,11
"Cantera Vereno I, (Cantero Central) Caldalso de los Vidrios, Madrid, Spain",2020.7.2383,11
"Mina Carlota, Chanaroillo, Chile",2020.7.2636,11
"Carolina Segunda Mine, Sierra Pampa Larga, Los Loros, Tierra Amarilla, Chile",2020.7.2517,11
"Cattle Grit Bit, Mt. Gunison Mine, Pernatty Lagoon, South Australia",2020.7.2332,11
"Cavradi, Grisons, Switzerland",2020.7.2887,11
"Cerro Blanco, near Copiapo, Chile",2020.7.2458,11
"Chashan Mine, Nandan County, Guangxi Province, China  ",2020.7.3145,11
"Chatian, Fenghuang, Hunan Province, China",2020.7.3018,11
"Chihuahua, Mexico",2020.7.2865,11
"Chilena mine, Guanaco Mining Dist., near Taltal, Chile",2020.7.2571,11
"Chubut, Patagonia, Argentina",2020.7.2411,11
"Chun Shi, Hunan Prov., China   ",2020.7.3167,11
"Churin Quarry, Oyon, near Lima, Peru",2020.7.2700,11
"Claudia Mine, Pampa Larga Sur Mining Dist., Near Tierra Amarilla, Chile",2020.7.2593,11
"Coca Cola Mine, Talcuna Mining district, Marqueza, Chile",2020.7.2631,11
"Concepcion del Oro, Zacatecas, Mexico",2020.7.2834,11
"Contatto Ovest stope, San Giovanni Mine, Iglesias, Sardinia, Italy",2020.7.2417,11
"Cook's Kitchen, Illogan, Cornwall, England",2020.7.2339,11
"Copper Queen Mine, Bisbee, Arizona",2020.7.2322,11
"Copper Valley, 60 km. north on Brandberg Plateau, 100 km West of Uis, Namibia",2020.7.2946,11
"Corner Pocket area, Watercourse Raise, Sweet Home Mine, Alma, Colorado",2020.7.2375,11
"Corocoro, Bolivia",2020.7.2341,11
"Cresson Mine, Cripple Creek, Tellur Co., Colorado",2020.7.2350,11
"Dara-I-Pioz, Tien-Shan, Tadzhikistan, Russia",2020.7.2329,11
"Dassu, Gilgut-Skardu area, Pakistan",2020.7.2421,11
"Dayu Mountains, Fujian Province, China ",2020.7.3028,11
"De'an, Jiangxi Province, China",2020.7.3155,11
"Diamantina, Minas Gerais, Brazil",2020.7.2316,11
"Dongchuan, Yunnan Province, China",2020.7.3193,11
"El Hammam Mine, Meknes, Meknes-Tafkalet Region, Morocco",2020.7.2839,11
"El Llano Mine, Carrera Pinto, Chile",2020.7.2657,11
"El Teniente Mine, Rancagua, Cachapoal Prov., Chile",2020.7.2554,11
"Elmwood Mine, near Carthage, Tennessee",2020.7.3218,11
"Enganc Feliz Mine, Las Pintadas Dist., Copiapo Prov., Chile",2020.7.2587,11
